Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,1uF,C_0805_2012Metric,352.62,-158.92,90,bottom
C2,0.1uF,C_0805_2012Metric,336.4,-134.44,-90,bottom
C3,0.1uF,C_0805_2012Metric,339.4,-134.44,-90,bottom
C4,0.1uF,C_0805_2012Metric,342.4,-134.44,-90,bottom
C5,10uF,C_0805_2012Metric,345.4,-134.44,-90,bottom
C6,22pF,C_0805_2012Metric,313.48,-152.3,90,bottom
C7,22pF,C_0805_2012Metric,316.48,-152.3,90,bottom
ESDD0,ESD5Z5V0,D_SOD-523,320.2075,-111.24,180,bottom
F1,SMD0805-050-16V,Fuse_1206_3216Metric,320.2075,-114.2,180,bottom
FB1,GZ2012D601TF,L_0805_2012Metric,342.1625,-113.59,180,bottom
LED1,Green,LED0805-RD_GREEN,228.75,-164.54,180,bottom
R1,10k,R_0805_2012Metric,331,-158.89,-90,bottom
R2,22,R_0805_2012Metric,325.34,-140.7925,-90,bottom
R3,22,R_0805_2012Metric,328.29,-140.7925,-90,bottom
R4,10k,R_0805_2012Metric,219.47,-163.31,180,bottom
R5,5.1k,R_0805_2012Metric,334.93,-112.36,180,bottom
R6,5.1k,R_0805_2012Metric,334.93,-114.35,0,bottom
R7,1k,R_0805_2012Metric,219.47,-167.36,180,bottom
U1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,340.51875,-160.9875,180,bottom
U2,TPD4E05U06DQAR,USON-10_2.5x1.0mm_P0.5mm,327.56,-111.84,90,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,321.28,-152.3,180,bottom
D1,D,Diode_TH_SMD_without_holes,107.888211,-113.04,90,bottom
D2,D,Diode_TH_SMD_without_holes,131.45,-113.04,90,bottom
D3,D,Diode_TH_SMD_without_holes,150.5,-113.04,90,bottom
D4,D,Diode_TH_SMD_without_holes,169.55,-113.04,90,bottom
D5,D,Diode_TH_SMD_without_holes,188.6,-113.04,90,bottom
D6,D,Diode_TH_SMD_without_holes,207.65,-113.04,90,bottom
D7,D,Diode_TH_SMD_without_holes,226.7,-113.04,90,bottom
D8,D,Diode_TH_SMD_without_holes,245.75,-113.04,90,bottom
D9,D,Diode_TH_SMD_without_holes,264.8,-113.04,90,bottom
D10,D,Diode_TH_SMD_without_holes,283.85,-113.04,90,bottom
D11,D,Diode_TH_SMD_without_holes,302.9,-113.04,90,bottom
D12,D,Diode_TH_SMD_without_holes,308.058211,-113.04,90,bottom
D13,D,Diode_TH_SMD_without_holes,352.64,-125.16,180,bottom
D14,D,Diode_TH_SMD_without_holes,107.888211,-132.09,90,bottom
D15,D,Diode_TH_SMD_without_holes,131.45,-132.09,90,bottom
D16,D,Diode_TH_SMD_without_holes,150.5,-132.09,90,bottom
D17,D,Diode_TH_SMD_without_holes,169.55,-132.09,90,bottom
D18,D,Diode_TH_SMD_without_holes,188.6,-132.09,90,bottom
D19,D,Diode_TH_SMD_without_holes,207.65,-132.09,90,bottom
D20,D,Diode_TH_SMD_without_holes,226.7,-132.09,90,bottom
D21,D,Diode_TH_SMD_without_holes,245.75,-132.09,90,bottom
D22,D,Diode_TH_SMD_without_holes,264.8,-132.09,90,bottom
D23,D,Diode_TH_SMD_without_holes,283.85,-132.09,90,bottom
D24,D,Diode_TH_SMD_without_holes,302.9,-132.09,90,bottom
D25,D,Diode_TH_SMD_without_holes,308.058211,-132.09,90,bottom
D26,D,Diode_TH_SMD_without_holes,352.64,-128.95,180,bottom
D27,D,Diode_TH_SMD_without_holes,107.888211,-151.14,90,bottom
D28,D,Diode_TH_SMD_without_holes,131.45,-151.14,90,bottom
D29,D,Diode_TH_SMD_without_holes,150.5,-151.14,90,bottom
D30,D,Diode_TH_SMD_without_holes,169.55,-151.14,90,bottom
D31,D,Diode_TH_SMD_without_holes,188.6,-151.14,90,bottom
D32,D,Diode_TH_SMD_without_holes,207.65,-151.14,90,bottom
D33,D,Diode_TH_SMD_without_holes,226.683211,-149.8,90,bottom
D34,D,Diode_TH_SMD_without_holes,245.75,-151.14,90,bottom
D35,D,Diode_TH_SMD_without_holes,264.8,-151.14,90,bottom
D36,D,Diode_TH_SMD_without_holes,283.85,-151.14,90,bottom
D37,D,Diode_TH_SMD_without_holes,302.9,-151.14,90,bottom
D38,D,Diode_TH_SMD_without_holes,308.058211,-151.14,90,bottom
D39,D,Diode_TH_SMD_without_holes,352.64,-132.74,180,bottom
D40,D,Diode_TH_SMD_without_holes,124.98,-169.63,90,bottom
D41,D,Diode_TH_SMD_without_holes,153.51,-169.63,90,bottom
D42,D,Diode_TH_SMD_without_holes,179.19,-169.63,90,bottom
D43,D,Diode_TH_SMD_without_holes,185.618211,-169.63,90,bottom
D44,D,Diode_TH_SMD_without_holes,254.91,-169.63,90,bottom
D45,D,Diode_TH_SMD_without_holes,259.52,-169.63,90,bottom
D46,D,Diode_TH_SMD_without_holes,282.92,-169.63,90,bottom
D47,D,Diode_TH_SMD_without_holes,304.948211,-169.63,90,bottom
